Name,hash,createdAt,family,Benign
17TMc2UkVRSga2yYvuxSD9Q1XyB2EPRjTF,cfb39d98f66da8bfe42ad86894f116a3c1d8c6d1189456fcffae615a80623c49,2021,Netwalker (Mailto),0
1DTE5x3Rjn2q75HjX6hiu8CQwEGqe6wQ4s,7c4d1a0f009b5073f509a863d1e49dded565dbf59a4987b4b13e0d3beb437210,2021,Netwalker (Mailto),0
3KmK5z4CAvn3aL4Q8F2gWbhuPRy9ZmEurN,bc7ca0b943ee25cbbbae11cd655effd5eaf543d66c680a7f0b685d7b9a489f7b,2021,Qlocker,0
1C7FeXMf18mGrcF59DJTkmxnRfkKeG1KFZ,eed587d59ec79dc9203bd1ec39fc15082de28ac959f7939b3b12d996d35e80e8,2021,Netwalker (Mailto),0
3PDfzkTnD1E7gB7peZ2prRyDxjQ1BhqcV1,677a5fd419c733a3e92c38a9ac90ede08db1316e6b0b9f1f6901382b27e20a28,2021,Qlocker,0
3LLzycFNFh7mDsqRhfknfGBa6TKq6HcfwS,fd7dfe7054722dfce7e0dc25fa11a4f0073f141ec9a491bebe7c376ad35b5973,2021,Qlocker,0
37m57HiP5rPceopgEWF9sM58CkzaDFYtaU,82ebe0ce289cd022ec6a00f3a251fe93ae7f503c2b4bdf07b10a2490b6a9dbd0,2021,Qlocker,0
18x7PieotZcmMwYSaYbbV8X3zBMentd5Fu,f0fef2fb74881765471b9167cdba36187261091e022463102a1c3ea139399a74,2021,Netwalker (Mailto),0
3Gwz3yVmrGr5AqmUrAS8H2QQaPz2v9Rhpx,3e4d6ba1feea1b8882ae65192e45bf8a222f55b258f4f0b7e794df68d4bd78f4,2021,Qlocker,0
1Kcwserp7KqSMYBDe6Ra5atHP6xWbQPBnD,62bb9a02cbf0480a23d1384c171fc56d819558e6e2cfa7026cc991b4c89b6186,2021,Netwalker (Mailto),0
1GuPsTqJjib8t2idTaLwa95kRLtiWhrE5A,3f7184bc30444cc3d390626af1b1afe5dab8b762ee63badff19f102ad944e3c1,2021,Netwalker (Mailto),0
3EWRngsRDhCxMHtKxeK6k9kX3pyWZSA2YB,d0355807091b283aea677ec76c4932c3cc42ef1f632e07595a771106b3fba691,2021,Qlocker,0
3FXVLv8TmcHNmnfwLfc5g7f2a32xp3XugW,07a2d76ab71921a752b5c5d1ba8ce5467629336e29a1b7f814ff17b5aa923aef,2021,Qlocker,0
1C9wdSqXngQSMabJWRAn9jSzThLqmVBz28,c821d002f03173b52c026268ff3dd352a7d5955bc670dacdc94745a46a9fd966,2021,Netwalker (Mailto),0
3JtUAz4aKUrjcBK47ocdv52tTJkriat1nx,95740860ac18c318fd19f67b3ca59d335b9c312e8574f85e8908000e95f21a2a,2021,Qlocker,0
115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,14449446275da0bf11825d14733fcc28f7264f8a2c3a506752f92fddb8e1aa16,2021,WannaCry,0
1MTm1qxzVLvGPMnQ5vWPXGrNapC2XPyGAU,fcfa7ee20be69ce10d1cb46ab61231cbe66b7037cc10c36bf4725f6825e85d40,2021,Netwalker (Mailto),0
1GmoNbUmxdYZyb97wFAVtQjq7xt2Km3Qb2,b06aee4eeef4b3f1b7a52a76333e2d181ddc7c607966eb9c56f737b182874b1a,2021,Netwalker (Mailto),0
3JRdPjB8U3nfDqQHzTqw9yYra49Gsd8Rar,50a162a00f8d8de92483ccd52eb746d6c204d55727a338a03eec6181ea61fa9e,2021,Qlocker,0
1LgA6afU8BNTC9bwwHu6zN2RgJEMspHQbM,cb0d4342c0030432e181f4787b9bdc006d411c2a2242f509391f6e9cacd952af,2021,Netwalker (Mailto),0
3EvCKQ38y8ePUwM4w49XWVtAK7KhYbmeMH,85a57257929b51028716306212459aba00461fb63b056541ef89be0c8512e593,2021,Qlocker,0
13AM4VW2dhxYgXeQepoHkHSQuy6NgaEb94,9ff0abcedf98c3cf1eee581f44d8cdc66d8c0199f28134e161b5f8b6f507a291,2021,WannaCry,0
1H2Spjde9d6YaoBfJ4LYmFWxDsgmxf92Ln,6a04e8bddb9a644a98312f9ef5487b8818e1ac9650da462bdf18faae16e0d4c2,2021,Netwalker (Mailto),0
3BeQ9H5tByJK9CeeZftDsBFhgt1i5Q7AQK,1b5a91a603f645688bc26850d0f580a6ce579aba2586d733dac390367cbab95e,2021,REvil / Sodinokibi,0
3EPBKN3bcax81U3MdKYUhMC1fzFEFGPC6E,5d52a460a7a22103aac2cd5fcbbb837128bd1a0f42029c4d5b441c14cea93eb0,2021,Qlocker,0
3FvLioiqF2TrQgZ9zRMdd7QUfc2hTjKZfL,e469671e2507b0e50400c5d4a0fe4fe4cc39829e64e46fb346b2feb4320347c1,2021,Qlocker,0
1HNZEpCrS2uBSNXb4TqZ76fD4VkyMzD5dL,8e17f296a9ba3a46d5e8ef4bbe1443dd2c1edad79e71e8c295290f3167e74d07,2021,Netwalker (Mailto),0
